WindSpeed,RotSpeed
3.000000000000000000e+00,3.474206868723098030e+00
3.500000000000000000e+00,4.006696556671450082e+00
4.000000000000000000e+00,4.579210993543759045e+00
4.500000000000000000e+00,5.151770713773315080e+00
5.000000000000000000e+00,5.724186334289814049e+00
5.500000000000000000e+00,6.296314024390244235e+00
6.000000000000000000e+00,6.868085545193687302e+00
6.500000000000000000e+00,7.439128228120516440e+00
7.000000000000000000e+00,8.009327474892396381e+00
7.500000000000000000e+00,8.578537482065996755e+00
8.000000000000000000e+00,9.146309182209472866e+00
8.500000000000000000e+00,9.712523134863701557e+00
9.000000000000000000e+00,1.027773224533716068e+01
9.500000000000000000e+00,1.083948081061693181e+01
1.000000000000000000e+01,1.139836441893830887e+01
1.050000000000000000e+01,1.190574784791965790e+01
1.100000000000000000e+01,1.210003945480630883e+01
1.150000000000000000e+01,1.209993543758966794e+01
1.200000000000000000e+01,1.209984576757532082e+01
1.250000000000000000e+01,1.209752241750358870e+01
1.300000000000000000e+01,1.209758518651362813e+01
1.350000000000000000e+01,1.209930774748923810e+01
1.400000000000000000e+01,1.209990494978479170e+01
1.450000000000000000e+01,1.210018920373027029e+01
1.500000000000000000e+01,1.210016588952654182e+01
1.550000000000000000e+01,1.210003048780487589e+01
1.600000000000000000e+01,1.209998475609756063e+01
1.650000000000000000e+01,1.209999282639885188e+01
1.700000000000000000e+01,1.210002690100430378e+01
1.750000000000000000e+01,1.210008877331420329e+01
1.800000000000000000e+01,1.210019906743185203e+01
1.850000000000000000e+01,1.210027349354375836e+01
1.900000000000000000e+01,1.210028156384504960e+01
1.950000000000000000e+01,1.210020355093257116e+01
2.000000000000000000e+01,1.210007173601147556e+01
2.050000000000000000e+01,1.210047256097561252e+01
2.100000000000000000e+01,1.210014347202295681e+01
2.150000000000000000e+01,1.210009594691535284e+01
2.200000000000000000e+01,1.209981258967001594e+01
2.250000000000000000e+01,1.209993095408895236e+01
2.300000000000000000e+01,1.210013898852223768e+01
2.350000000000000000e+01,1.210003048780487944e+01
2.400000000000000000e+01,1.209949246771879672e+01
2.450000000000000000e+01,1.209998116929698853e+01
2.500000000000000000e+01,1.209959738163558463e+01
